context,name,suffix,driver,sensor,regex,resource,timeout,rename,input1,output1,input2,output2,input3,output3,input4,output4,input5,output5,input6,output6,input7,output7
wavss-a-dcl-full,wavss-a-dcl-full,recovered,/wavss_a/dcl/wavss_a_dcl_recovered_driver.py,XX00XXXX-XX00X-00-WAVSSA000,,wavss_a/dcl/resource,,,20140825.wavss.log,20140825_recov.yml,,,,,,,,,,,,
wavss-a-dcl-full,wavss-a-dcl-full,telemetered,/wavss_a/dcl/wavss_a_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-WAVSSA000,,wavss_a/dcl/resource,,,20140825.wavss.log,20140825_telem.yml,,,,,,,,,,,,
wfp-eng-stc-imodem,wfp-eng-stc-imodem,recovered,/WFP_ENG/STC_IMODEM/wfp_eng_stc_imodem_recovered_driver.py,CP02PMUO-SBS01-00-ENGWSX000,,WFP_ENG/STC_IMODEM/resource,,,second.DAT, recovered_second.result.yml,,,,,,,,,,,,
wfp-eng-stc-imodem,wfp-eng-stc-imodem,telemetered,/WFP_ENG/STC_IMODEM/wfp_eng_stc_imodem_telemetered_driver.py,CP02PMUO-SBS01-00-ENGWSX000,,WFP_ENG/STC_IMODEM/resource,,,second.DAT, telemetered_second.result.yml,,,,,,,,,,,,
wfp-eng-wfp-sio-mule ,wfp-eng-wfp-sio-mule ,telemetered,,,,,,,,,,,,,,,,,,,,
wfp-eng-wfp-sio-mule ,wfp-eng-wfp-sio-mule ,recovered,,,,,,,,,,,,,,,,,,,,
deep-profiler,deep-profiler,recovered,/dpc/dpc_driver.py,XX00XXXX-XX00X-00-DEEPPR000,,dpc/resource,,,acm_1_20140105T015004_6400.mpk,acm_1_20140105T015004_6400.yml,ctd_1_20140105T015004_6400.mpk,ctd_1_20140105T015004_6400.yml,flcd_1_20140105T015004_6400.mpk,flcd_1_20140105T015004_6400.yml,mmp_1_20140105T015004_6400.mpk,mmp_1_20140105T015004_6400.yml,optode_1_20140105T015004_6400.mpk,optode_1_20140105T015004_6400.yml,flntu_1_20140105T015004_6400.mpk,flntu_1_20140105T015004_6400.yml,acs_archive.mpk,acs_archive.yml
adcpt_m_dspec,adcpt_m_dspec,recovered,/adcpt_m/adcpt_m_dspec_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTM001,,adcpt_m/resource,,,DSpec1404180021.txt,DSpec1404180021.yml,,,,,,,,,,,,
adcpt_m_log9,adcpt_m_log9,recovered,/adcpt_m/adcpt_m_log9_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTM003,,adcpt_m/resource,,,ADCPT_M_LOG9_large.txt,ADCPT_M_LOG9_large.yml,,,,,,,,,,,,
adcpt_m_WVS,adcpt_m_WVS,recovered,,,,,,,,,,,,,,,,,,,,
